Date,ASII.JK,ADRO.JK,ANTM.JK,MDKA.JK,BMRI.JK,INDF.JK,^JKSE
2024-06-03,3868.26513671875,1436.6514892578125,1400.2794189453125,2740.0,4990.35009765625,5591.7705078125,7036.19091796875
2024-06-04,3937.034423828125,1431.748291015625,1371.7022705078125,2650.0,5031.25439453125,5637.9833984375,7099.31201171875
2024-06-05,3954.226318359375,1407.23193359375,1276.4451904296875,2420.0,4908.541015625,5661.08984375,6947.669921875
2024-06-06,3919.84228515625,1397.4256591796875,1252.630859375,2460.0,5051.70703125,5730.40966796875,6974.89697265625
2024-06-07,3919.84228515625,1392.522216796875,1238.34228515625,2500.0,5133.51611328125,5730.40966796875,6897.9501953125
2024-06-10,3876.861328125,1348.39306640625,1181.1881103515625,2460.0,5133.51611328125,5707.30322265625,6921.5478515625
2024-06-11,3739.32275390625,1333.6834716796875,1195.4766845703125,2450.0,5010.80224609375,5661.08984375,6855.69091796875
2024-06-12,3747.9189453125,1368.006103515625,1209.7652587890625,2380.0,4847.18408203125,5730.40966796875,6850.09716796875
2024-06-13,3833.880615234375,1363.1029052734375,1195.4766845703125,2370.0,4806.27978515625,5661.08984375,6831.56396484375
2024-06-14,3799.495849609375,1363.1029052734375,1152.6109619140625,2270.0,4704.0185546875,5614.876953125,6734.83203125
2024-06-19,3825.28466796875,1304.2637939453125,1157.373779296875,2310.0,4704.0185546875,5476.23828125,6726.9189453125
2024-06-20,3825.28466796875,1338.5865478515625,1157.373779296875,2300.0,4867.63671875,5476.23828125,6819.32080078125
2024-06-21,3859.6689453125,1338.5865478515625,1171.662353515625,2310.0,5010.80224609375,5522.451171875,6879.97802734375
2024-06-24,3808.092041015625,1333.6834716796875,1190.7137451171875,2320.0,4908.541015625,5476.23828125,6889.1650390625
2024-06-25,3782.303466796875,1328.780029296875,1166.8995361328125,2400.0,4847.18408203125,5499.3447265625,6882.7041015625
2024-06-26,3799.495849609375,1348.39306640625,1157.373779296875,2340.0,4785.82763671875,5453.1318359375,6905.64208984375
2024-06-27,3808.092041015625,1348.39306640625,1171.662353515625,2360.0,4908.541015625,5568.6640625,6967.951171875
2024-06-28,3833.880615234375,1368.006103515625,1190.7137451171875,2380.0,5031.25439453125,5614.876953125,7063.5771484375
2024-07-01,3971.418701171875,1372.9093017578125,1243.105224609375,2460.0,5113.0634765625,5637.9833984375,7139.6259765625
2024-07-02,3894.05322265625,1392.522216796875,1233.5794677734375,2460.0,5072.15869140625,5637.9833984375,7125.14208984375
2024-07-03,3928.4384765625,1417.03857421875,1252.630859375,2440.0,5092.61181640625,5637.9833984375,7196.7548828125
2024-07-04,3911.24560546875,1402.328857421875,1262.1566162109375,2470.0,5113.0634765625,5614.876953125,7220.88916015625
2024-07-05,3937.034423828125,1426.8450927734375,1247.8680419921875,2440.0,5256.2294921875,5661.08984375,7253.3720703125
2024-07-08,3988.61083984375,1421.94189453125,1300.259521484375,2480.0,5092.61181640625,5730.40966796875,7250.97705078125
2024-07-09,3919.84228515625,1421.94189453125,1281.2080078125,2440.0,5215.32470703125,5746.8291015625,7269.80078125
2024-07-10,3902.6494140625,1421.94189453125,1281.2080078125,2420.0,5215.32470703125,5795.12158203125,7287.0419921875
2024-07-11,3876.861328125,1402.328857421875,1295.49658203125,2400.0,5235.77685546875,5722.6826171875,7300.4072265625
2024-07-12,3902.6494140625,1387.619140625,1295.49658203125,2400.0,5256.2294921875,5746.8291015625,7327.580078125
2024-07-15,3842.476806640625,1407.23193359375,1285.970947265625,2320.0,5194.8720703125,5770.9755859375,7278.86279296875
